OR	Ordinarium Divini Officii ad Matutinum	Ordinarium	Ordinarium	1			
E1F6	Feria VI	Proprium de Tempore	Hebdomada I post Epiphaniam	3		Feria	IV. classis
E1F7	Sabbato	Proprium de Tempore	Hebdomada I post Epiphaniam	3		Feria	IV. classis
E2F1	Dominicæ II usque IV post Epiphaniam	Proprium de Tempore	Dominicæ II usque IV post Epiphaniam	2		Semiduplicia	II. classis
E2F2	Feria II	Proprium de Tempore	Hebdomadæ II usque IV post Epiphaniam	3		Feria	IV. classis
E2F3	Feria III usque ad Sabbato	Proprium de Tempore	Hebdomadæ II usque IV post Epiphaniam	3		Feria	IV. classis
7GF1	Dominica in Septuagesima	Proprium de Tempore	Dominica in Septuagesima	2		II. classis - Semiduplex	II. classis
7GF2	Feria II	Proprium de Tempore	Hebdomada Septuagesimæ	3		Simplex	IV. classis
7GF3	Feria III	Proprium de Tempore	Hebdomada Septuagesimæ	3		Simplex	IV. classis
7GF4	Feria IV	Proprium de Tempore	Hebdomada Septuagesimæ	3		Simplex	IV. classis
7GF5	Feria V	Proprium de Tempore	Hebdomada Septuagesimæ	3		Simplex	IV. classis
7GF6	Feria VI	Proprium de Tempore	Hebdomada Septuagesimæ	3		Simplex	IV. classis
7GF7	Sabbato	Proprium de Tempore	Hebdomada Septuagesimæ	3		Simplex	IV. classis
6GF1	Dominica in Sexagesima	Proprium de Tempore	Dominica in Sexagesima	2		II. classis - Semiduplex	II. classis
6GF2	Feria II	Proprium de Tempore	Hebdomada Sexagesimæ	3		Simplex	IV. classis
6GF3	Feria III	Proprium de Tempore	Hebdomada Sexagesimæ	3		Simplex	IV. classis
6GF4	Feria IV	Proprium de Tempore	Hebdomada Sexagesimæ	3		Simplex	IV. classis
6GF5	Feria V	Proprium de Tempore	Hebdomada Sexagesimæ	3		Simplex	IV. classis
6GF6	Feria VI	Proprium de Tempore	Hebdomada Sexagesimæ	3		Simplex	IV. classis
6GF7	Sabbato	Proprium de Tempore	Hebdomada Sexagesimæ	3		Simplex	IV. classis
5GF1	Dominica in Quinquagesima	Proprium de Tempore	Dominica in Quinquagesima	2		II. classis - Semiduplex	II. classis
5GF2	Feria II	Proprium de Tempore	Hebdomada Quinquagesimæ	3		Simplex	IV. classis
5GF3	Feria III	Proprium de Tempore	Hebdomada Quinquagesimæ	3		Simplex	IV. classis
